2025-04-25 07:08:39.646 | INFO     | __main__:process_website:52 - Processing articles from: https://idrw.org
2025-04-25 07:08:40.508 | INFO     | __main__:process_website:65 - Processing article 1/10: IAF and DRDO Explore Upgrades for Ageing Phalcon AWACS Amid Push for Indigenous Innovation
2025-04-25 07:08:40.517 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://idrw.org/iaf-and-drdo-explore-upgrades-for-ageing-phalcon-awacs-amid-push-for-indigenous-innovation/
2025-04-25 07:08:46.380 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: IAF and DRDO Explore Upgrades for Ageing Phalcon AWACS Amid Push for Indigenous Innovation
2025-04-25 07:08:46.381 | SUCCESS  | __main__:process_website:90 - Successfully processed article: IAF and DRDO Explore Upgrades for Ageing Phalcon AWACS Amid Push for Indigenous Innovation
2025-04-25 07:08:46.381 | INFO     | __main__:process_website:65 - Processing article 2/10: HAL Prachand Set to Boost Firepower with Indigenous 80mm Unguided Rocket Upgrade
2025-04-25 07:08:46.382 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://idrw.org/hal-prachand-set-to-boost-firepower-with-indigenous-80mm-unguided-rocket-upgrade/
2025-04-25 07:08:50.813 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: HAL Prachand Set to Boost Firepower with Indigenous 80mm Unguided Rocket Upgrade
2025-04-25 07:08:50.814 | SUCCESS  | __main__:process_website:90 - Successfully processed article: HAL Prachand Set to Boost Firepower with Indigenous 80mm Unguided Rocket Upgrade
2025-04-25 07:08:50.814 | INFO     | __main__:process_website:65 - Processing article 3/10: Saab’s Gripen-E offers Seamless Integration of Indian Missiles, 100% ToT
2025-04-25 07:08:50.814 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://idrw.org/saabs-gripen-e-offers-seamless-integration-of-indian-missiles-100-tot/
2025-04-25 07:08:54.507 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: Saab’s Gripen-E offers Seamless Integration of Indian Missiles, 100% ToT
2025-04-25 07:08:54.508 | SUCCESS  | __main__:process_website:90 - Successfully processed article: Saab’s Gripen-E offers Seamless Integration of Indian Missiles, 100% ToT
2025-04-25 07:08:54.508 | INFO     | __main__:process_website:65 - Processing article 4/10: Since Balakot: IAF’s Arsenal of Long-Range Missiles Now Enables Strikes Deep Inside Pakistan Without Crossing the Border
2025-04-25 07:08:54.509 | INFO     | src.news_scraper:scrape_article:103 - Scraping article from: https://idrw.org/since-balakot-iafs-arsenal-of-long-range-missiles-now-enables-strikes-deep-inside-pakistan-without-crossing-the-border/
2025-04-25 07:08:58.106 | SUCCESS  | src.news_scraper:scrape_article:129 - Successfully scraped article: Since Balakot: IAF’s Arsenal of Long-Range Missiles Now Enables Strikes Deep Inside Pakistan Without Crossing the Border
